Type	Sex	Class	direction	Freq	group
As	F	DNA	down	0	F_down
BI.PM2.5	F	DNA	down	0	F_down
BPA10mg	F	DNA	down	0	F_down
BPA10ug	F	DNA	down	1	F_down
DEHP	F	DNA	down	0	F_down
Pb	F	DNA	down	4	F_down
TBT	F	DNA	down	0	F_down
TCDD	F	DNA	down	0	F_down
As	M	DNA	down	0	M_down
BI.PM2.5	M	DNA	down	0	M_down
BPA10mg	M	DNA	down	0	M_down
BPA10ug	M	DNA	down	14	M_down
DEHP	M	DNA	down	1	M_down
Pb	M	DNA	down	4	M_down
TBT	M	DNA	down	0	M_down
TCDD	M	DNA	down	0	M_down
As	F	LINE	down	0	F_down
BI.PM2.5	F	LINE	down	0	F_down
BPA10mg	F	LINE	down	0	F_down
BPA10ug	F	LINE	down	0	F_down
DEHP	F	LINE	down	0	F_down
Pb	F	LINE	down	3	F_down
TBT	F	LINE	down	0	F_down
TCDD	F	LINE	down	0	F_down
As	M	LINE	down	0	M_down
BI.PM2.5	M	LINE	down	1	M_down
BPA10mg	M	LINE	down	1	M_down
BPA10ug	M	LINE	down	11	M_down
DEHP	M	LINE	down	3	M_down
Pb	M	LINE	down	6	M_down
TBT	M	LINE	down	1	M_down
TCDD	M	LINE	down	4	M_down
As	F	LTR	down	1	F_down
BI.PM2.5	F	LTR	down	0	F_down
BPA10mg	F	LTR	down	0	F_down
BPA10ug	F	LTR	down	1	F_down
DEHP	F	LTR	down	0	F_down
Pb	F	LTR	down	5	F_down
TBT	F	LTR	down	0	F_down
TCDD	F	LTR	down	0	F_down
As	M	LTR	down	3	M_down
BI.PM2.5	M	LTR	down	0	M_down
BPA10mg	M	LTR	down	0	M_down
BPA10ug	M	LTR	down	20	M_down
DEHP	M	LTR	down	4	M_down
Pb	M	LTR	down	16	M_down
TBT	M	LTR	down	2	M_down
TCDD	M	LTR	down	9	M_down
As	F	SINE	down	0	F_down
BI.PM2.5	F	SINE	down	0	F_down
BPA10mg	F	SINE	down	0	F_down
BPA10ug	F	SINE	down	0	F_down
DEHP	F	SINE	down	0	F_down
Pb	F	SINE	down	1	F_down
TBT	F	SINE	down	0	F_down
TCDD	F	SINE	down	0	F_down
As	M	SINE	down	0	M_down
BI.PM2.5	M	SINE	down	0	M_down
BPA10mg	M	SINE	down	0	M_down
BPA10ug	M	SINE	down	25	M_down
DEHP	M	SINE	down	0	M_down
Pb	M	SINE	down	0	M_down
TBT	M	SINE	down	0	M_down
TCDD	M	SINE	down	0	M_down
As	F	DNA	up	6	F_up
BI.PM2.5	F	DNA	up	12	F_up
BPA10mg	F	DNA	up	1	F_up
BPA10ug	F	DNA	up	0	F_up
DEHP	F	DNA	up	0	F_up
Pb	F	DNA	up	0	F_up
TBT	F	DNA	up	31	F_up
TCDD	F	DNA	up	0	F_up
As	M	DNA	up	0	M_up
BI.PM2.5	M	DNA	up	0	M_up
BPA10mg	M	DNA	up	0	M_up
BPA10ug	M	DNA	up	0	M_up
DEHP	M	DNA	up	0	M_up
Pb	M	DNA	up	0	M_up
TBT	M	DNA	up	4	M_up
TCDD	M	DNA	up	0	M_up
As	F	LINE	up	14	F_up
BI.PM2.5	F	LINE	up	17	F_up
BPA10mg	F	LINE	up	0	F_up
BPA10ug	F	LINE	up	1	F_up
DEHP	F	LINE	up	0	F_up
Pb	F	LINE	up	0	F_up
TBT	F	LINE	up	51	F_up
TCDD	F	LINE	up	0	F_up
As	M	LINE	up	0	M_up
BI.PM2.5	M	LINE	up	1	M_up
BPA10mg	M	LINE	up	0	M_up
BPA10ug	M	LINE	up	0	M_up
DEHP	M	LINE	up	0	M_up
Pb	M	LINE	up	0	M_up
TBT	M	LINE	up	28	M_up
TCDD	M	LINE	up	0	M_up
As	F	LTR	up	20	F_up
BI.PM2.5	F	LTR	up	37	F_up
BPA10mg	F	LTR	up	0	F_up
BPA10ug	F	LTR	up	1	F_up
DEHP	F	LTR	up	0	F_up
Pb	F	LTR	up	0	F_up
TBT	F	LTR	up	71	F_up
TCDD	F	LTR	up	0	F_up
As	M	LTR	up	0	M_up
BI.PM2.5	M	LTR	up	6	M_up
BPA10mg	M	LTR	up	0	M_up
BPA10ug	M	LTR	up	0	M_up
DEHP	M	LTR	up	0	M_up
Pb	M	LTR	up	0	M_up
TBT	M	LTR	up	75	M_up
TCDD	M	LTR	up	0	M_up
As	F	SINE	up	6	F_up
BI.PM2.5	F	SINE	up	11	F_up
BPA10mg	F	SINE	up	0	F_up
BPA10ug	F	SINE	up	0	F_up
DEHP	F	SINE	up	0	F_up
Pb	F	SINE	up	0	F_up
TBT	F	SINE	up	32	F_up
TCDD	F	SINE	up	0	F_up
As	M	SINE	up	0	M_up
BI.PM2.5	M	SINE	up	0	M_up
BPA10mg	M	SINE	up	0	M_up
BPA10ug	M	SINE	up	0	M_up
DEHP	M	SINE	up	0	M_up
Pb	M	SINE	up	0	M_up
TBT	M	SINE	up	0	M_up
TCDD	M	SINE	up	0	M_up
