logFC	logCPM	PValue	FDR	TE	Control_CPM_median	Exposure_CPM_median	group	Type	Sex	Subfamily	Family	Class
-1.217924747	4.171148298	2.92E-07	0.000296134	MER63C:hAT-Blackjack:DNA	18.59647035	7.731634665	AL_RNA_TCDD_F	TCDD	F	MER63C	hAT-Blackjack	DNA
-1.117740581	9.356427789	1.24E-05	0.005936003	HAL1ME:L1:LINE	654.5930562	314.9214665	AL_RNA_TCDD_F	TCDD	F	HAL1ME	L1	LINE
-1.362623422	2.064055076	2.34E-05	0.005936003	L1M3b:L1:LINE	3.788215047	1.84517896	AL_RNA_TCDD_F	TCDD	F	L1M3b	L1	LINE
-1.143816992	5.997657849	2.33E-05	0.005936003	L1MCb:L1:LINE	63.30736797	29.43704978	AL_RNA_TCDD_F	TCDD	F	L1MCb	L1	LINE
-0.857680152	6.307058649	5.41E-05	0.010977695	L1MA7:L1:LINE	81.48125372	41.91048607	AL_RNA_TCDD_F	TCDD	F	L1MA7	L1	LINE
-0.883270112	5.284019828	9.77E-05	0.01542318	RLTR20A3_MM:ERVK:LTR	40.05382332	20.18531269	AL_RNA_TCDD_F	TCDD	F	RLTR20A3_MM	ERVK	LTR
-1.104602681	4.99918637	0.000106472	0.01542318	RLTR20C:ERVK:LTR	30.88528561	16.02880148	AL_RNA_TCDD_F	TCDD	F	RLTR20C	ERVK	LTR
-0.831269574	8.586981658	0.000145947	0.018498777	Lx4B:L1:LINE	391.9615148	229.5780803	AL_RNA_TCDD_F	TCDD	F	Lx4B	L1	LINE
-1.002850659	2.602469299	0.000164806	0.01856818	LTR40a:ERVL:LTR	6.086335809	3.29854968	AL_RNA_TCDD_F	TCDD	F	LTR40a	ERVL	LTR
-1.02784671	7.812651873	0.000198562	0.020134194	MMERGLN-int:ERV1:LTR	238.8098659	129.8603768	AL_RNA_TCDD_F	TCDD	F	MMERGLN-int	ERV1	LTR
-1.765325098	0.181291635	0.000236506	0.021801551	MamGypLTR1a:Gypsy:LTR	0.919732294	0.274754097	AL_RNA_TCDD_F	TCDD	F	MamGypLTR1a	Gypsy	LTR
-1.363269249	0.503913006	0.000378395	0.03197438	Charlie13b:hAT-Charlie:DNA	1.374178764	0.415264073	AL_RNA_TCDD_F	TCDD	F	Charlie13b	hAT-Charlie	DNA
