logFC	logCPM	PValue	FDR	TE	Control_CPM_median	Exposure_CPM_median	group	Type	Sex	Subfamily	Class
0.103662772	12.87799743	9.83E-48	1.10E-44	MIR	7459.165534	8022.371435	AL_ATAC_TCDD_F	TCDD	F	MIR	SINE
0.252065532	11.03225053	1.66E-42	9.27E-40	MMVL30-int	2037.561208	2398.370912	AL_ATAC_TCDD_F	TCDD	F	MMVL30-int	LTR
0.100892085	13.07078452	6.43E-42	2.40E-39	MIRb	8522.1455	9148.023692	AL_ATAC_TCDD_F	TCDD	F	MIRb	SINE
0.10964072	12.05305982	6.29E-36	1.76E-33	MIRc	4209.20358	4537.564577	AL_ATAC_TCDD_F	TCDD	F	MIRc	SINE
0.112187437	11.67801026	1.19E-33	2.65E-31	MIR3	3238.194984	3493.011752	AL_ATAC_TCDD_F	TCDD	F	MIR3	SINE
0.300607654	6.726425459	3.99E-32	7.43E-30	MER102c	103.0756791	125.4519575	AL_ATAC_TCDD_F	TCDD	F	MER102c	DNA
-0.175362464	14.65333635	9.05E-32	1.45E-29	L1Md_T	26161.62866	23182.46609	AL_ATAC_TCDD_F	TCDD	F	L1Md_T	LINE
-0.1372438	12.87150595	2.36E-31	3.30E-29	L1Md_F3	7575.651252	6956.084759	AL_ATAC_TCDD_F	TCDD	F	L1Md_F3	LINE
0.114592295	11.72148924	1.49E-29	1.85E-27	L2b	3348.545537	3607.118277	AL_ATAC_TCDD_F	TCDD	F	L2b	LINE
-0.130993244	13.72952799	4.40E-28	4.93E-26	L1_Mus1	13723.19169	12609.21602	AL_ATAC_TCDD_F	TCDD	F	L1_Mus1	LINE
-0.143014063	15.31384941	6.07E-27	6.17E-25	L1Md_F2	41181.39885	37491.8457	AL_ATAC_TCDD_F	TCDD	F	L1Md_F2	LINE
-0.167614444	9.89972472	1.32E-26	1.23E-24	Lx2A1	964.1054079	861.3657553	AL_ATAC_TCDD_F	TCDD	F	Lx2A1	LINE
-0.172228327	14.08927699	3.08E-26	2.65E-24	L1Md_A	17625.9168	15803.54725	AL_ATAC_TCDD_F	TCDD	F	L1Md_A	LINE
0.191976628	7.361489223	7.54E-25	5.63E-23	L1ME4c	161.0558361	185.559933	AL_ATAC_TCDD_F	TCDD	F	L1ME4c	LINE
-0.19400216	8.259675935	7.21E-25	5.63E-23	MMERVK10D3_I-int	311.7529301	273.8572694	AL_ATAC_TCDD_F	TCDD	F	MMERVK10D3_I-int	LTR
0.299660623	5.781116356	1.36E-24	9.54E-23	MER57-int	52.82616056	65.43632082	AL_ATAC_TCDD_F	TCDD	F	MER57-int	LTR
0.112215284	9.782700637	4.02E-24	2.65E-22	L1MB2	870.4612083	938.7903046	AL_ATAC_TCDD_F	TCDD	F	L1MB2	LINE
-0.15485121	8.87782928	5.60E-24	3.48E-22	LTRIS2	473.386537	427.0896372	AL_ATAC_TCDD_F	TCDD	F	LTRIS2	LTR
0.068122539	12.42306293	5.52E-23	3.25E-21	L2a	5456.942416	5728.669757	AL_ATAC_TCDD_F	TCDD	F	L2a	LINE
0.259168406	5.748923755	6.57E-22	3.68E-20	Charlie19a	51.99073399	63.00379371	AL_ATAC_TCDD_F	TCDD	F	Charlie19a	DNA
0.085297038	11.19289685	7.34E-22	3.91E-20	L2c	2320.736666	2469.760145	AL_ATAC_TCDD_F	TCDD	F	L2c	LINE
0.108641486	10.6127465	1.00E-21	5.09E-20	MER20	1548.848982	1676.594281	AL_ATAC_TCDD_F	TCDD	F	MER20	DNA
0.325315907	6.39563704	1.40E-21	6.82E-20	HERVL40-int	81.89768949	101.5776744	AL_ATAC_TCDD_F	TCDD	F	HERVL40-int	LTR
-0.123614305	13.19466769	9.96E-21	4.64E-19	L1_Mus2	9449.136171	8693.720375	AL_ATAC_TCDD_F	TCDD	F	L1_Mus2	LINE
-0.14457399	12.4969396	1.34E-20	6.00E-19	Lx3_Mus	5837.875063	5329.708356	AL_ATAC_TCDD_F	TCDD	F	Lx3_Mus	LINE
0.139115221	9.768381672	2.14E-20	9.20E-19	MER58A	860.4251632	934.8109437	AL_ATAC_TCDD_F	TCDD	F	MER58A	DNA
-0.143921692	9.156410933	2.74E-20	1.14E-18	Lx2A	576.6986244	521.1105521	AL_ATAC_TCDD_F	TCDD	F	Lx2A	LINE
-0.172758431	9.741243402	4.47E-20	1.79E-18	L1Md_Gf	866.8754175	773.1400718	AL_ATAC_TCDD_F	TCDD	F	L1Md_Gf	LINE
-0.112834875	11.70803768	2.12E-19	8.19E-18	MERVL-int	3377.505438	3143.470526	AL_ATAC_TCDD_F	TCDD	F	MERVL-int	LTR
0.106559311	9.333005969	1.11E-18	4.15E-17	ID2	638.7859694	688.0887214	AL_ATAC_TCDD_F	TCDD	F	ID2	SINE
0.674690347	7.896753443	1.41E-18	5.07E-17	MLTR18B_MM	218.4326309	327.9676131	AL_ATAC_TCDD_F	TCDD	F	MLTR18B_MM	LTR
0.098959253	10.92223184	3.97E-18	1.39E-16	PB1	1921.919568	2052.791174	AL_ATAC_TCDD_F	TCDD	F	PB1	SINE
0.335695529	5.765142774	6.99E-18	2.37E-16	MER68-int	52.78930904	68.18005916	AL_ATAC_TCDD_F	TCDD	F	MER68-int	LTR
-0.135761762	11.45330202	8.10E-18	2.67E-16	Lx3C	2834.813107	2585.21867	AL_ATAC_TCDD_F	TCDD	F	Lx3C	LINE
-0.199998016	7.114220783	1.11E-17	3.55E-16	IAPEY_LTR	140.7410386	121.0148882	AL_ATAC_TCDD_F	TCDD	F	IAPEY_LTR	LTR
0.094876273	14.42926055	2.10E-17	6.53E-16	RSINE1	21877.62836	23375.80266	AL_ATAC_TCDD_F	TCDD	F	RSINE1	SINE
-0.120368601	12.17233773	2.57E-17	7.78E-16	Lx4A	4661.415855	4308.852193	AL_ATAC_TCDD_F	TCDD	F	Lx4A	LINE
0.174687142	7.065626405	4.03E-17	1.19E-15	MARNA	130.209625	149.4118747	AL_ATAC_TCDD_F	TCDD	F	MARNA	DNA
-0.148442888	12.88582026	4.53E-17	1.30E-15	Lx2	7677.470432	6906.270631	AL_ATAC_TCDD_F	TCDD	F	Lx2	LINE
-0.156723651	8.510308943	5.20E-17	1.45E-15	IAP-d-int	370.6885195	335.0393684	AL_ATAC_TCDD_F	TCDD	F	IAP-d-int	LTR
0.286381129	8.15859791	5.40E-17	1.47E-15	MLTR25C	278.783238	327.7771158	AL_ATAC_TCDD_F	TCDD	F	MLTR25C	LTR
-0.125104325	11.2753401	9.67E-17	2.58E-15	Lx3B	2503.813845	2302.637267	AL_ATAC_TCDD_F	TCDD	F	Lx3B	LINE
0.093250101	9.400084515	1.25E-16	3.24E-15	Charlie1a	669.6269884	715.3728796	AL_ATAC_TCDD_F	TCDD	F	Charlie1a	DNA
-0.156198336	11.86486754	1.44E-16	3.67E-15	Lx3A	3777.180026	3377.180482	AL_ATAC_TCDD_F	TCDD	F	Lx3A	LINE
