logFC_F	TE	Subfamily	Class	direction_F	CPM_Mean_F	logFC_M	direction_M	CPM_Mean_M	CPM_Mean	Taxa	MeanMethylation_Ctrl_Female	MeanMethylation_PM2.5-CHI_Female	MeanMethylation_Ctrl_Male	MeanMethylation_PM2.5-CHI_Male
0.166730392	L1Md_F3	L1Md_F3	LINE	up	8042.600103	-0.421141623	down	6926.920523	7484.760313	Mus_musculus	0.814072713	0.80838491	0.816624847	0.820261875
-0.188793442	L2b	L2b	LINE	down	3146.356042	0.290747304	up	3618.61786	3382.486951	Amniota	0.741735456	0.731430299	0.737441031	0.736769514
0.209890178	Lx3C	Lx3C	LINE	up	3061.024085	-0.463660436	down	2419.089997	2740.057041	Muridae	0.765719397	0.756518984	0.770144555	0.77421756
0.167532037	L1_Mus1	L1_Mus1	LINE	up	14589.50962	-0.388563613	down	11805.53763	13197.52362	Mus_musculus	0.778028052	0.769111258	0.783554423	0.786755553
0.197232959	L1Md_A	L1Md_A	LINE	up	18985.12461	-0.475804161	down	15516.12907	17250.62684	Mus_musculus	0.822447104	0.818442597	0.824961882	0.826280359
0.181640753	L1Md_F2	L1Md_F2	LINE	up	43960.28999	-0.445341279	down	35829.41262	39894.8513	Mus_musculus	0.78057332	0.773387128	0.785603055	0.789259292
0.181191092	L1Md_T	L1Md_T	LINE	up	27952.1022	-0.461316002	down	22871.85504	25411.97862	Mus_musculus	0.83488577	0.83263165	0.837011495	0.841418167
-0.150382967	L2c	L2c	LINE	down	2204.451558	0.21901254	up	2430.438131	2317.444844	Amniota	0.762251416	0.753717041	0.759809507	0.759832454
-0.174090894	L1MB2	L1MB2	LINE	down	819.3940165	0.253823483	up	929.8486541	874.6213353	Eutheria	0.810662545	0.804638176	0.80725964	0.810184052
0.198441646	Lx3_Mus	Lx3_Mus	LINE	up	6276.563461	-0.498898972	down	4937.867677	5607.215569	Mus_musculus	0.759535161	0.749890451	0.764959198	0.768436896
0.202178858	Lx3B	Lx3B	LINE	up	2687.937399	-0.463313995	down	2147.357526	2417.647463	Muridae	0.761969677	0.752523486	0.766886087	0.771197075
0.218284166	Lx2A1	Lx2A1	LINE	up	1043.422794	-0.539878395	down	819.2974271	931.3601103	Muridae	0.76334674	0.753634652	0.76619175	0.76978669
0.168725379	Lx	Lx	LINE	up	12052.8491	-0.408020628	down	10020.28229	11036.56569	Muridae	0.786454899	0.777766885	0.789968136	0.793328137
0.165137443	L1_Mus2	L1_Mus2	LINE	up	10042.99811	-0.409546946	down	8338.303509	9190.650808	Mus_musculus	0.776318531	0.767347096	0.781961877	0.78530813
0.205949627	Lx2B2	Lx2B2	LINE	up	4743.199766	-0.477625999	down	3808.111907	4275.655837	Muridae	0.766025207	0.757708006	0.770162232	0.773569131
0.206829529	Lx2B	Lx2B	LINE	up	2810.773943	-0.460603829	down	2293.694833	2552.234388	Muridae	0.765419697	0.756334149	0.769184642	0.772650695
0.202739126	Lx2	Lx2	LINE	up	8254.715092	-0.479441078	down	6511.083883	7382.899487	Muridae	0.765910005	0.756322731	0.769435641	0.772882271
0.220958996	Lx3A	Lx3A	LINE	up	4093.621667	-0.531375438	down	3379.528207	3736.574937	Muridae	0.752345208	0.742540371	0.757226519	0.761462179
