V6	V19	V28	Freq	Fraction	Ratio
DNA	F	exon	5	0.0561797752808989	1.07612766650383
LINE	F	exon	10	0.112359550561798	0.641285190445981
LTR	F	exon	33	0.370786516853933	1.65396064571665
SINE	F	exon	41	0.460674157303371	0.840027639372076
DNA	M	exon	3	0.0280373831775701	0.537058106460788
LINE	M	exon	19	0.177570093457944	1.01347033368613
LTR	M	exon	47	0.439252336448598	1.95936487709791
SINE	M	exon	38	0.355140186915888	0.647589121576558
DNA	F	intergenic	44	0.0316319194823868	0.812995650612429
LINE	F	intergenic	286	0.205607476635514	0.657624730900899
LTR	F	intergenic	746	0.536304816678648	1.71198976859596
SINE	F	intergenic	315	0.226455787203451	0.675631596912998
DNA	M	intergenic	61	0.0366366366366366	0.941625634044707
LINE	M	intergenic	339	0.203603603603604	0.651215448101783
LTR	M	intergenic	862	0.517717717717718	1.65265611680059
SINE	M	intergenic	403	0.242042042042042	0.722133240242738
DNA	F	intron	97	0.050468262226847	0.951330074654323
LINE	F	intron	422	0.219562955254943	0.983052636516826
LTR	F	intron	671	0.349115504682622	1.66453582984875
SINE	F	intron	732	0.380853277835588	0.741155473046919
DNA	M	intron	100	0.0423908435777872	0.799070199886204
LINE	M	intron	565	0.239508266214498	1.07235408767543
LTR	M	intron	810	0.343365832980076	1.63712216752099
SINE	M	intron	884	0.374735057227639	0.729249174866528
DNA	F	TSS	4	0.0199004975124378	0.503638731881027
LINE	F	TSS	48	0.238805970149254	1.30954370706212
LTR	F	TSS	84	0.417910447761194	1.95673830521515
SINE	F	TSS	65	0.323383084577114	0.572812239219977
DNA	M	TSS	8	0.0337552742616034	0.854273292051363
LINE	M	TSS	53	0.223628691983122	1.22631585015232
LTR	M	TSS	99	0.417721518987342	1.95585370381134
SINE	M	TSS	77	0.324894514767932	0.575489453191015
DNA	F	TTS	9	0.0375	0.920286885245902
LINE	F	TTS	43	0.179166666666667	1.03332767667131
LTR	F	TTS	91	0.379166666666667	1.79786764705882
SINE	F	TTS	97	0.404166666666667	0.702940354740197
DNA	M	TTS	6	0.0231660231660232	0.568516994746503
LINE	M	TTS	48	0.185328185328185	1.06886368279191
LTR	M	TTS	113	0.436293436293436	2.068741592271
SINE	M	TTS	92	0.355212355212355	0.617797358303687
