subfamily	sex	group	Freq	Fraction	Ratio
B1_Mm	F	AL_TCDD	1	0.003205128	0.270099017
B1_Mur1	F	AL_TCDD	5	0.016025641	1.518831894
B1_Mur2	F	AL_TCDD	1	0.003205128	0.36185752
B1_Mur3	F	AL_TCDD	1	0.003205128	0.46877787
B1_Mus1	F	AL_TCDD	2	0.006410256	0.243242091
B1_Mus2	F	AL_TCDD	4	0.012820513	0.6513474
B1F	F	AL_TCDD	1	0.003205128	0.257339735
B1F1	F	AL_TCDD	2	0.006410256	1.181320233
B1F2	F	AL_TCDD	1	0.003205128	0.700783189
B2_Mm1t	F	AL_TCDD	1	0.003205128	0.496080506
B2_Mm2	F	AL_TCDD	5	0.016025641	0.640679669
B3	F	AL_TCDD	16	0.051282051	1.250827474
B3A	F	AL_TCDD	3	0.009615385	0.376214701
B4	F	AL_TCDD	8	0.025641026	1.464373312
B4A	F	AL_TCDD	17	0.054487179	1.867692614
Charlie1a	F	AL_TCDD	1	0.003205128	4.378008403
ERVL-B4-int	F	AL_TCDD	1	0.003205128	8.583484455
HAL1	F	AL_TCDD	1	0.003205128	3.368442809
HERVL74-int	F	AL_TCDD	1	0.003205128	79.71981314
ID_B1	F	AL_TCDD	9	0.028846154	0.938786497
ID4	F	AL_TCDD	2	0.006410256	0.979886034
ID4_	F	AL_TCDD	2	0.006410256	0.886741651
L1_Mur3	F	AL_TCDD	1	0.003205128	0.434541003
L1_Mus1	F	AL_TCDD	2	0.006410256	0.893562741
L1_Mus2	F	AL_TCDD	3	0.009615385	1.732711158
L1_Mus3	F	AL_TCDD	2	0.006410256	0.502456495
L1M2	F	AL_TCDD	2	0.006410256	1.288588179
L1M3	F	AL_TCDD	1	0.003205128	1.683988873
L1M4	F	AL_TCDD	2	0.006410256	1.710677617
L1M4b	F	AL_TCDD	1	0.003205128	5.476933727
L1M5	F	AL_TCDD	2	0.006410256	1.437662825
L1MA6	F	AL_TCDD	1	0.003205128	1.706847385
L1MA7	F	AL_TCDD	1	0.003205128	3.692743388
L1MB3	F	AL_TCDD	1	0.003205128	2.214439254
L1MB4	F	AL_TCDD	2	0.006410256	8.765455559
L1MC4	F	AL_TCDD	1	0.003205128	2.129015781
L1MC5	F	AL_TCDD	1	0.003205128	3.433877086
L1MCb	F	AL_TCDD	1	0.003205128	16.94046029
L1MD	F	AL_TCDD	1	0.003205128	1.881692596
L1Md_F2	F	AL_TCDD	1	0.003205128	0.187665499
L1MD2	F	AL_TCDD	2	0.006410256	7.41917969
L1MD3	F	AL_TCDD	1	0.003205128	4.80202024
L1MDa	F	AL_TCDD	1	0.003205128	3.457236794
L1ME2	F	AL_TCDD	1	0.003205128	4.527517227
L1ME2z	F	AL_TCDD	2	0.006410256	15.42964125
L1ME4b	F	AL_TCDD	2	0.006410256	12.99641067
L1VL2	F	AL_TCDD	1	0.003205128	2.593478931
L1VL4	F	AL_TCDD	1	0.003205128	1.998874371
L2	F	AL_TCDD	4	0.012820513	2.675983197
L2a	F	AL_TCDD	1	0.003205128	0.486425978
L2b	F	AL_TCDD	4	0.012820513	3.43629565
L2c	F	AL_TCDD	1	0.003205128	0.959648419
L3	F	AL_TCDD	1	0.003205128	1.213644916
LFSINE_Vert	F	AL_TCDD	1	0.003205128	9.657269525
LTR33	F	AL_TCDD	1	0.003205128	8.126003604
LTR53	F	AL_TCDD	1	0.003205128	52.34820348
Lx	F	AL_TCDD	2	0.006410256	0.967565557
Lx3_Mus	F	AL_TCDD	1	0.003205128	0.945587364
Lx4A	F	AL_TCDD	1	0.003205128	1.115931511
Lx5	F	AL_TCDD	1	0.003205128	0.726452139
Lx5c	F	AL_TCDD	2	0.006410256	1.447902589
Lx7	F	AL_TCDD	2	0.006410256	0.593491055
Lx8	F	AL_TCDD	4	0.012820513	0.966071158
Lx9	F	AL_TCDD	2	0.006410256	0.489589026
MamRep38	F	AL_TCDD	1	0.003205128	55.44150641
MER117	F	AL_TCDD	1	0.003205128	15.75856771
MER53	F	AL_TCDD	1	0.003205128	6.977763965
MER58A	F	AL_TCDD	1	0.003205128	3.212307456
MER74A	F	AL_TCDD	1	0.003205128	16.13377171
MER90a	F	AL_TCDD	1	0.003205128	18.23188552
MERV1_I-int	F	AL_TCDD	1	0.003205128	8.571420527
MERVL_2A-int	F	AL_TCDD	3	0.009615385	8.82783938
MIR	F	AL_TCDD	5	0.016025641	1.513592203
MIR3	F	AL_TCDD	1	0.003205128	0.729799043
MIRb	F	AL_TCDD	5	0.016025641	1.400198761
MIRc	F	AL_TCDD	2	0.006410256	1.014441004
MLT1A0	F	AL_TCDD	1	0.003205128	1.146562456
MLT1A1	F	AL_TCDD	2	0.006410256	2.642073305
MLT1B	F	AL_TCDD	2	0.006410256	2.547969795
MLT1C	F	AL_TCDD	1	0.003205128	1.545701611
MLT1D	F	AL_TCDD	1	0.003205128	1.425398085
MLT1F	F	AL_TCDD	1	0.003205128	7.566458691
MLT1H2	F	AL_TCDD	1	0.003205128	11.63848417
MLT1I	F	AL_TCDD	1	0.003205128	6.709093185
MLT2C1	F	AL_TCDD	1	0.003205128	13.6586018
MLT2F	F	AL_TCDD	1	0.003205128	20.16054779
MLTR11A	F	AL_TCDD	1	0.003205128	5.605299361
MLTR11B	F	AL_TCDD	1	0.003205128	3.978190284
MLTR18B_MM	F	AL_TCDD	1	0.003205128	25.30525189
MLTR25C	F	AL_TCDD	1	0.003205128	23.50121659
MMERGLN-int	F	AL_TCDD	1	0.003205128	13.64332373
MMERVK10C-int	F	AL_TCDD	1	0.003205128	3.49889025
MMVL30-int	F	AL_TCDD	2	0.006410256	24.49223175
MT-int	F	AL_TCDD	1	0.003205128	26.80688222
MTB_Mm	F	AL_TCDD	1	0.003205128	2.396293008
MTB-int	F	AL_TCDD	1	0.003205128	19.86503487
MTC	F	AL_TCDD	2	0.006410256	0.856660445
MTC-int	F	AL_TCDD	2	0.006410256	6.725741059
MTD	F	AL_TCDD	16	0.051282051	3.664108871
MTD-int	F	AL_TCDD	1	0.003205128	4.669652148
MTE-int	F	AL_TCDD	1	0.003205128	2.385047206
MTE2b	F	AL_TCDD	1	0.003205128	0.821576951
MTEa	F	AL_TCDD	2	0.006410256	1.177556614
MTEa-int	F	AL_TCDD	2	0.006410256	17.10677617
ORR1A4	F	AL_TCDD	2	0.006410256	3.02583265
ORR1B1	F	AL_TCDD	2	0.006410256	1.364790356
ORR1B2	F	AL_TCDD	2	0.006410256	2.770501172
ORR1C1	F	AL_TCDD	1	0.003205128	1.588788773
ORR1D1	F	AL_TCDD	2	0.006410256	1.094796823
ORR1D2	F	AL_TCDD	5	0.016025641	3.922411696
ORR1E	F	AL_TCDD	2	0.006410256	1.042178101
ORR1F	F	AL_TCDD	3	0.009615385	1.547401118
PB1	F	AL_TCDD	1	0.003205128	1.003631318
PB1D10	F	AL_TCDD	3	0.009615385	0.537192352
PB1D11	F	AL_TCDD	1	0.003205128	0.622397888
PB1D7	F	AL_TCDD	1	0.003205128	0.475929897
RCHARR1	F	AL_TCDD	1	0.003205128	1.721299945
RLTR11D	F	AL_TCDD	1	0.003205128	22.29822927
RLTR12C	F	AL_TCDD	1	0.003205128	35.76871381
RLTR12E	F	AL_TCDD	1	0.003205128	18.76481755
RLTR13D3A1	F	AL_TCDD	1	0.003205128	18.17754309
RLTR14	F	AL_TCDD	1	0.003205128	4.9581835
RLTR19-int	F	AL_TCDD	1	0.003205128	4.779440208
