V1	V8_1_1	V8_1_2	Fraction
MA0002.2_Runx1	3	0.00805	0.15
MA0007.3_Ar	3	0.0108	0.15
MA0009.2_TBXT	1	0.0304	0.05
MA0014.3_PAX5	1	0.0272	0.05
MA0017.2_NR2F1	2	0.0164	0.1
MA0028.2_ELK1	6	0.000218	0.3
MA0029.1_Mecom	2	0.00933	0.1
MA0036.3_GATA2	2	0.0271	0.1
MA0037.4_Gata3	2	0.0158	0.1
MA0038.2_GFI1	3	0.000329	0.15
MA0039.4_KLF4	7	0.000466	0.35
MA0048.2_NHLH1	1	0.00329	0.05
MA0050.3_Irf1	1	0.0162	0.05
MA0051.1_IRF2	1	0.0232	0.05
MA0056.2_MZF1	2	0.00535	0.1
MA0058.3_MAX	1	0.00502	0.05
MA0059.1_MAX::MYC	2	0.00495	0.1
MA0060.3_NFYA	1	0.00542	0.05
MA0062.3_GABPA	19	3.78e-06	0.95
MA0063.2_NKX2-5	2	0.000966	0.1
MA0065.2_Pparg::Rxra	1	0.0247	0.05
MA0066.1_PPARG	2	0.0154	0.1
MA0072.1_RORA	2	0.00397	0.1
MA0073.1_RREB1	7	0.00192	0.35
MA0074.1_RXRA::VDR	1	0.0471	0.05
MA0076.2_ELK4	17	0.00048	0.85
MA0077.1_SOX9	2	0.00275	0.1
MA0078.2_Sox17	2	0.00745	0.1
MA0079.5_SP1	4	0.0137	0.2
MA0080.6_Spi1	16	3.63e-05	0.8
MA0081.2_SPIB	17	0.000152	0.85
MA0083.3_SRF	1	0.0183	0.05
MA0087.2_Sox5	2	0.00887	0.1
MA0089.2_MAFG::NFE2L1	1	0.0365	0.05
MA0090.3_TEAD1	2	0.0241	0.1
MA0091.1_TAL1::TCF3	5	0.0101	0.25
MA0092.1_Hand1::Tcf3	4	0.00203	0.2
MA0093.3_USF1	2	0.0179	0.1
MA0098.3_ETS1	10	0.000242	0.5
MA0099.3_FOS::JUN	1	0.00914	0.05
MA0100.3_MYB	2	0.0236	0.1
MA0101.1_REL	1	0.0113	0.05
MA0102.4_CEBPA	1	0.0111	0.05
MA0103.3_ZEB1	3	0.0119	0.15
MA0104.4_MYCN	2	0.00381	0.1
MA0107.1_RELA	1	0.0164	0.05
MA0108.2_TBP	1	0.013	0.05
MA0111.1_Spz1	4	0.0258	0.2
MA0113.3_NR3C1	2	0.0115	0.1
MA0114.4_HNF4A	1	0.0309	0.05
MA0116.1_Znf423	2	0.00133	0.1
MA0117.2_Mafb	2	0.00227	0.1
MA0119.1_NFIC::TLX1	2	0.00993	0.1
MA0131.2_HINFP	1	0.0358	0.05
MA0135.1_Lhx3	1	0.00169	0.05
MA0136.3_Elf5	17	0.000828	0.85
MA0137.3_STAT1	1	0.0253	0.05
MA0138.2_REST	1	0.00265	0.05
MA0139.1_CTCF	7	2.76e-05	0.35
MA0140.2_GATA1::TAL1	3	0.00736	0.15
MA0143.4_SOX2	2	0.00902	0.1
MA0144.2_STAT3	2	0.00196	0.1
MA0145.2_Tfcp2l1	4	0.0109	0.2
MA0146.2_Zfx	2	0.00115	0.1
MA0147.3_MYC	2	0.00896	0.1
MA0149.1_EWSR1-FLI1	7	0.00163	0.35
MA0150.2_Nfe2l2	1	0.0333	0.05
MA0152.2_Nfatc2	1	0.0398	0.05
MA0154.4_EBF1	3	0.00873	0.15
MA0155.1_INSM1	4	0.00789	0.2
MA0156.3_FEV	7	7.16e-05	0.35
MA0159.1_RARA::RXRA	4	0.00981	0.2
MA0160.2_NR4A2	1	0.0108	0.05
MA0161.2_NFIC	2	0.0119	0.1
MA0163.1_PLAG1	4	0.00355	0.2
MA0462.2_BATF::JUN	1	0.0143	0.05
MA0463.2_BCL6	4	0.0153	0.2
MA0471.2_E2F6	5	0.011	0.25
MA0473.3_ELF1	19	5.5e-05	0.95
MA0474.3_Erg	19	1.72e-06	0.95
MA0475.2_FLI1	8	0.000253	0.4
MA0476.1_FOS	1	0.00501	0.05
MA0477.2_FOSL1	1	0.00951	0.05
MA0478.1_FOSL2	1	0.00565	0.05
MA0479.1_FOXH1	1	0.0296	0.05
MA0480.2_Foxo1	2	0.0321	0.1
MA0482.2_GATA4	2	0.00738	0.1
MA0483.1_Gfi1B	4	0.00656	0.2
MA0484.2_HNF4G	1	0.0255	0.05
MA0486.2_HSF1	2	0.0219	0.1
MA0489.2_Jun	1	0.00887	0.05
MA0490.2_JUNB	1	0.0162	0.05
MA0491.2_JUND	1	0.0137	0.05
MA0493.2_KLF1	6	0.00203	0.3
MA0494.1_Nr1h3::Rxra	1	0.0169	0.05
MA0495.3_MAFF	3	0.0248	0.15
MA0496.3_MAFK	1	0.0174	0.05
MA0499.2_MYOD1	1	0.0133	0.05
MA0500.2_MYOG	3	0.00431	0.15
MA0501.1_MAF::NFE2	2	0.0214	0.1
MA0502.2_NFYB	2	0.0329	0.1
MA0505.2_Nr5A2	1	0.00211	0.05
MA0506.2_Nrf1	1	0.0166	0.05
MA0508.3_PRDM1	1	0.0229	0.05
MA0510.2_RFX5	1	0.0287	0.05
MA0511.2_RUNX2	1	0.00905	0.05
MA0512.2_Rxra	1	0.0412	0.05
MA0514.2_Sox3	1	0.00785	0.05
MA0515.1_Sox6	3	0.0163	0.15
MA0516.3_SP2	6	0.00296	0.3
MA0517.1_STAT1::STAT2	3	0.00577	0.15
MA0518.1_Stat4	2	0.00615	0.1
MA0519.1_Stat5a::Stat5b	1	0.0349	0.05
MA0520.1_Stat6	1	0.00765	0.05
MA0521.2_Tcf12	4	0.0015	0.2
MA0522.3_TCF3	1	0.00273	0.05
MA0523.1_TCF7L2	2	0.0279	0.1
MA0524.2_TFAP2C	2	0.0169	0.1
MA0526.4_USF2	1	0.00753	0.05
MA0527.1_ZBTB33	1	0.0233	0.05
MA0528.2_ZNF263	6	0.00395	0.3
MA0591.1_Bach1::Mafk	2	0.0323	0.1
MA0592.3_ESRRA	1	0.0354	0.05
MA0597.2_THAP1	2	0.00113	0.1
MA0598.3_EHF	19	0.000112	0.95
MA0599.1_KLF5	8	0.000231	0.4
MA0601.1_Arid3b	1	0.00251	0.05
MA0606.2_Nfat5	1	0.0199	0.05
MA0608.1_Creb3l2	1	0.0108	0.05
MA0610.1_DMRT3	1	0.0211	0.05
MA0619.1_LIN54	1	0.0302	0.05
MA0621.1_mix-a	1	0.0176	0.05
MA0622.1_Mlxip	1	0.0153	0.05
MA0623.2_NEUROG1	1	0.0379	0.05
MA0624.2_Nfatc1	1	0.0381	0.05
MA0625.2_NFATC3	3	0.0259	0.15
MA0626.1_Npas2	1	0.00325	0.05
MA0628.1_POU6F1	1	0.00268	0.05
MA0629.1_Rhox11	1	0.00957	0.05
MA0633.2_Twist2	7	0.0027	0.35
MA0640.2_ELF3	19	0.000165	0.95
MA0641.1_ELF4	6	0.000442	0.3
MA0645.1_ETV6	13	0.000922	0.65
MA0649.1_HEY2	1	0.0277	0.05
MA0655.1_JDP2	1	0.00783	0.05
MA0658.1_LHX6	1	0.0224	0.05
MA0659.3_Mafg	1	0.00362	0.05
MA0660.1_MEF2B	1	0.00551	0.05
MA0664.1_MLXIPL	1	0.0331	0.05
MA0665.1_MSC	1	0.032	0.05
MA0667.1_MYF6	1	0.0457	0.05
MA0668.2_Neurod2	3	0.0133	0.15
MA0669.1_NEUROG2	1	0.0396	0.05
MA0671.1_NFIX	2	0.0304	0.1
MA0672.1_NKX2-3	1	0.0175	0.05
MA0673.1_NKX2-8	1	0.00502	0.05
MA0680.2_Pax7	1	0.00934	0.05
MA0681.2_PHOX2B	1	0.00803	0.05
MA0684.2_RUNX3	4	0.00222	0.2
MA0685.2_SP4	4	0.007	0.2
MA0686.1_SPDEF	1	0.00326	0.05
MA0687.1_SPIC	2	0.00669	0.1
MA0688.1_TBX2	1	0.00817	0.05
MA0690.2_TBX21	1	0.0082	0.05
MA0691.1_TFAP4	3	0.0188	0.15
MA0692.1_TFEB	1	0.0343	0.05
MA0693.3_Vdr	1	0.0075	0.05
MA0694.1_ZBTB7B	1	0.0467	0.05
MA0695.1_ZBTB7C	1	0.0354	0.05
MA0696.1_ZIC1	3	0.00243	0.15
MA0697.2_Zic3	6	0.000445	0.3
MA0698.1_ZBTB18	3	0.0044	0.15
MA0702.2_LMX1A	1	0.0196	0.05
MA0703.2_LMX1B	1	0.00543	0.05
MA0704.1_Lhx4	1	0.0103	0.05
MA0710.1_NOTO	1	0.0193	0.05
MA0715.1_PROP1	2	0.0431	0.1
MA0727.1_NR3C2	1	0.0117	0.05
MA0728.1_Nr2F6	1	0.00295	0.05
MA0729.1_RARA	2	0.00435	0.1
MA0730.1_RARA	2	0.00294	0.1
MA0731.1_BCL6B	1	0.0145	0.05
MA0734.3_Gli2	2	0.00104	0.1
MA0735.1_GLIS1	2	0.0228	0.1
MA0736.1_GLIS2	2	0.021	0.1
MA0737.1_GLIS3	2	0.0285	0.1
MA0738.1_HIC2	1	0.0276	0.05
MA0739.1_Hic1	1	0.0239	0.05
MA0740.2_KLF14	2	0.00492	0.1
MA0741.1_KLF16	6	0.00306	0.3
MA0742.2_KLF12	6	0.0046	0.3
MA0743.2_SCRT1	2	0.0161	0.1
MA0744.2_SCRT2	3	0.0117	0.15
MA0746.2_SP3	6	0.00266	0.3
MA0747.1_SP8	6	0.00711	0.3
MA0750.2_ZBTB7A	16	0.00164	0.8
MA0751.1_ZIC4	4	0.0034	0.2
MA0752.1_ZNF410	1	0.0307	0.05
MA0753.2_ZNF740	3	0.00201	0.15
MA0758.1_E2F7	1	0.00881	0.05
MA0759.2_ELK3	3	0.000158	0.15
MA0760.1_ERF	11	0.000248	0.55
MA0761.2_ETV1	19	5.95e-06	0.95
MA0762.1_ETV2	10	0.000506	0.5
MA0763.1_ETV3	5	0.000254	0.25
MA0764.3_ETV4	6	0.000234	0.3
MA0765.3_ETV5	3	0.000221	0.15
MA0766.2_GATA5	2	0.00271	0.1
MA0767.1_GCM2	1	0.0345	0.05
MA0768.2_Lef1	2	0.0205	0.1
MA0769.2_TCF7	1	0.0437	0.05
MA0773.1_MEF2D	1	0.00557	0.05
MA0774.1_MEIS2	1	0.0272	0.05
MA0775.1_MEIS3	2	0.0136	0.1
MA0778.1_NFKB2	1	0.0419	0.05
MA0780.1_PAX3	1	0.0115	0.05
MA0782.2_PKNOX1	1	0.00695	0.05
MA0783.1_PKNOX2	3	0.0249	0.15
MA0794.1_PROX1	1	0.0415	0.05
MA0800.1_EOMES	1	0.0102	0.05
MA0801.1_MGA	1	0.00446	0.05
MA0802.1_TBR1	1	0.00328	0.05
MA0803.1_TBX15	1	0.00458	0.05
MA0805.1_TBX1	1	0.00467	0.05
MA0806.1_TBX4	1	0.00474	0.05
MA0807.1_TBX5	1	0.00472	0.05
MA0808.1_TEAD3	2	0.012	0.1
MA0809.2_TEAD4	2	0.00941	0.1
MA0810.1_TFAP2A	3	0.0215	0.15
MA0811.1_TFAP2B	2	0.0167	0.1
MA0812.1_TFAP2B	1	0.0219	0.05
MA0813.1_TFAP2B	2	0.00708	0.1
MA0815.1_TFAP2C	3	0.00646	0.15
MA0816.1_Ascl2	2	0.00654	0.1
MA0819.2_CLOCK	1	0.00859	0.05
MA0820.1_FIGLA	4	0.0209	0.2
MA0821.2_HES5	1	0.0138	0.05
MA0823.1_HEY1	1	0.022	0.05
MA0825.1_MNT	1	0.0126	0.05
MA0830.2_TCF4	1	0.00476	0.05
MA0831.3_TFE3	1	0.0278	0.05
MA0832.1_Tcf21	3	0.0119	0.15
MA0834.1_ATF7	1	0.0222	0.05
MA0835.2_BATF3	1	0.0158	0.05
MA0836.2_CEBPD	1	0.0168	0.05
MA0840.1_Creb5	1	0.0425	0.05
MA0841.1_NFE2	1	0.00484	0.05
MA0842.2_NRL	2	0.00145	0.1
MA0847.3_FOXD2	1	0.0215	0.05
MA0855.1_RXRB	1	0.0368	0.05
MA0857.1_Rarb	1	0.000941	0.05
MA0858.1_Rarb	2	0.0029	0.1
MA0859.1_Rarg	1	0.000762	0.05
MA0863.1_MTF1	2	0.000248	0.1
MA0867.2_SOX4	2	0.00329	0.1
MA0868.2_SOX8	2	0.00519	0.1
MA0869.2_Sox11	2	0.00902	0.1
MA0870.1_Sox1	1	0.0267	0.05
MA0871.2_TFEC	1	0.0162	0.05
MA0872.1_TFAP2A	4	0.00927	0.2
MA0897.1_Hmx2	1	0.0127	0.05
MA0898.1_Hmx3	1	0.0331	0.05
MA1100.2_ASCL1	2	0.00261	0.1
MA1102.2_CTCFL	3	0.000524	0.15
MA1104.2_GATA6	2	0.0122	0.1
MA1107.2_KLF9	6	0.00398	0.3
MA1108.2_MXI1	3	0.00827	0.15
MA1109.1_NEUROD1	1	0.0207	0.05
MA1112.2_NR4A1	1	0.00901	0.05
MA1114.1_PBX3	2	0.00312	0.1
MA1115.1_POU5F1	1	0.0198	0.05
MA1116.1_RBPJ	6	0.00413	0.3
MA1118.1_SIX1	1	0.0296	0.05
MA1119.1_SIX2	1	0.0114	0.05
MA1120.1_SOX13	1	0.00308	0.05
MA1121.1_TEAD2	2	0.0271	0.1
MA1122.1_TFDP1	1	0.0231	0.05
MA1123.2_TWIST1	1	0.00395	0.05
MA1125.1_ZNF384	2	0.00299	0.1
MA1126.1_FOS::JUN	1	0.0144	0.05
MA1127.1_FOSB::JUN	1	0.0323	0.05
MA1128.1_FOSL1::JUN	1	0.0191	0.05
MA1129.1_FOSL1::JUN	1	0.0218	0.05
MA1130.1_FOSL2::JUN	1	0.0121	0.05
MA1132.1_JUN::JUNB	1	0.0185	0.05
MA1134.1_FOS::JUNB	1	0.0206	0.05
MA1135.1_FOSB::JUNB	1	0.0133	0.05
MA1136.1_FOSB::JUNB	1	0.0166	0.05
MA1137.1_FOSL1::JUNB	1	0.0237	0.05
MA1138.1_FOSL2::JUNB	1	0.0113	0.05
MA1140.2_JUNB	1	0.0179	0.05
MA1141.1_FOS::JUND	1	0.018	0.05
MA1142.1_FOSL1::JUND	1	0.0104	0.05
MA1143.1_FOSL1::JUND	1	0.0209	0.05
MA1144.1_FOSL2::JUND	1	0.011	0.05
MA1145.1_FOSL2::JUND	1	0.0194	0.05
MA1146.1_NR1H4::RXRA	1	0.0173	0.05
MA1147.1_NR4A2::RXRA	1	0.0156	0.05
MA1148.1_PPARA::RXRA	1	0.0238	0.05
MA1149.1_RARA::RXRG	1	0.0104	0.05
MA1150.1_RORB	4	0.00215	0.2
MA1151.1_RORC	3	0.00408	0.15
MA1152.1_SOX15	2	0.0163	0.1
MA1153.1_Smad4	1	0.0373	0.05
MA1155.1_ZSCAN4	1	0.00802	0.05
MA1418.1_IRF3	3	0.00156	0.15
MA1420.1_IRF5	1	0.0206	0.05
MA1421.1_TCF7L1	2	0.0151	0.1
MA1467.2_Atoh1	1	0.0497	0.05
MA1468.1_ATOH7	1	0.0293	0.05
MA1470.1_BACH2	2	0.0135	0.1
MA1472.2_Bhlha15	6	0.00368	0.3
MA1478.1_DMRTA2	2	0.025	0.1
MA1479.1_DMRTC2	1	0.0286	0.05
MA1483.2_ELF2	9	0.00066	0.45
MA1484.1_ETS2	7	0.000985	0.35
MA1485.1_FERD3L	2	0.0156	0.1
MA1487.2_FOXE1	1	0.0235	0.05
MA1491.2_GLI3	1	0.00484	0.05
MA1494.1_HNF4A	1	0.016	0.05
MA1508.1_IKZF1	15	0.000105	0.75
MA1511.2_KLF10	4	0.00155	0.2
MA1512.1_KLF11	4	0.0128	0.2
MA1513.1_KLF15	1	0.00663	0.05
MA1514.1_KLF17	2	0.0268	0.1
MA1515.1_KLF2	4	0.00448	0.2
MA1516.1_KLF3	2	0.0179	0.1
MA1517.1_KLF6	3	0.00609	0.15
MA1520.1_MAF	1	0.00894	0.05
MA1521.1_MAFA	1	0.00749	0.05
MA1522.1_MAZ	5	0.00292	0.25
MA1523.1_MSANTD3	2	0.00777	0.1
MA1524.2_Msgn1	1	0.019	0.05
MA1525.2_NFATC4	1	0.0137	0.05
MA1529.1_NHLH2	3	0.0103	0.15
MA1532.2_NR1D2	1	0.00875	0.05
MA1533.1_NR1I2	1	0.018	0.05
MA1537.1_NR2F1	1	0.0202	0.05
MA1540.2_NR5A1	3	0.000834	0.15
MA1541.1_NR6A1	1	0.0451	0.05
MA1542.1_OSR1	2	0.00455	0.1
MA1548.1_PLAGL2	1	0.0249	0.05
MA1554.1_RFX7	1	0.0479	0.05
MA1558.1_SNAI1	1	0.0323	0.05
MA1559.1_SNAI3	1	0.0333	0.05
MA1562.1_SOX14	2	0.0227	0.1
MA1563.2_SOX18	1	0.0395	0.05
MA1564.1_SP9	5	0.004	0.25
MA1565.1_TBX18	1	0.0333	0.05
MA1566.2_TBX3	1	0.00786	0.05
MA1567.2_Tbx6	2	0.00935	0.1
MA1568.1_TCF21	1	0.0284	0.05
MA1570.1_TFAP4	1	0.0171	0.05
MA1573.2_Thap11	4	0.00169	0.2
MA1575.1_THRB	3	0.00831	0.15
MA1578.1_VEZF1	1	0.00309	0.05
MA1579.1_ZBTB26	1	0.0136	0.05
MA1580.1_ZBTB32	1	0.0291	0.05
MA1581.1_ZBTB6	4	0.00126	0.2
MA1584.1_ZIC5	4	0.00583	0.2
MA1585.1_ZKSCAN1	1	0.0333	0.05
MA1587.1_ZNF135	4	0.00299	0.2
MA1589.1_ZNF140	3	0.0202	0.15
MA1592.1_ZNF274	2	0.0147	0.1
MA1596.1_ZNF460	7	0.0024	0.35
MA1597.1_ZNF528	1	0.0256	0.05
MA1599.1_ZNF682	5	0.00738	0.25
MA1600.1_ZNF684	1	0.0139	0.05
MA1601.2_ZNF75D	3	0.0175	0.15
MA1603.1_Dmrt1	4	0.000424	0.2
MA1604.1_Ebf2	2	0.0106	0.1
MA1608.1_Isl1	2	0.00435	0.1
MA1615.1_Plagl1	7	0.0032	0.35
MA1616.1_Prdm15	1	0.0249	0.05
MA1618.1_Ptf1a	2	0.00277	0.1
MA1619.1_Ptf1A	4	0.00276	0.2
MA1620.1_Ptf1A	2	0.00635	0.1
MA1621.1_Rbpjl	2	0.00883	0.1
MA1623.1_Stat2	5	0.00727	0.25
MA1625.1_Stat5b	1	0.0152	0.05
