Var1	Freq	Group	Type	Sex	DAR	Fra	Ratio	Expo
MTD	9	Metabolic	TCDD_M	M	LESS	0.132352941176471	2.51125475588136	TCDD
ORR1D1	3	Metabolic	TCDD_M	M	LESS	0.0441176470588235	1.99992861222159	TCDD
RMER15	3	Metabolic	TCDD_M	M	LESS	0.0441176470588235	2.38896170548756	TCDD
MLTR14	2	Metabolic	TCDD_M	M	LESS	0.0294117647058824	4.17787903893952	TCDD
MMERVK10C-int	2	Metabolic	TCDD_M	M	LESS	0.0294117647058824	8.53855531850046	TCDD
MTC	2	Metabolic	TCDD_M	M	LESS	0.0294117647058824	1.04366128972172	TCDD
MurERV4-int	2	Metabolic	TCDD_M	M	LESS	0.0294117647058824	17.8370061193449	TCDD
ORR1A4	2	Metabolic	TCDD_M	M	LESS	0.0294117647058824	3.68575312828909	TCDD
ORR1B2	2	Metabolic	TCDD_M	M	LESS	0.0294117647058824	3.38077743064401	TCDD
ORR1F	2	Metabolic	TCDD_M	M	LESS	0.0294117647058824	1.25589318669167	TCDD
RLTR25A	2	Metabolic	TCDD_M	M	LESS	0.0294117647058824	15.9221369707303	TCDD
RLTR48A	2	Metabolic	TCDD_M	M	LESS	0.0294117647058824	45.012050343658	TCDD
RMER19B	2	Metabolic	TCDD_M	M	LESS	0.0294117647058824	5.0106319554849	TCDD
LTR106_Mam	1	Metabolic	TCDD_M	M	LESS	0.0147058823529412	88.2825630252101	TCDD
LTR33	1	Metabolic	TCDD_M	M	LESS	0.0147058823529412	9.90084818974319	TCDD
MER21C	1	Metabolic	TCDD_M	M	LESS	0.0147058823529412	6.35997881142165	TCDD
MLT1C	1	Metabolic	TCDD_M	M	LESS	0.0147058823529412	1.88336134453782	TCDD
MLT1N2	1	Metabolic	TCDD_M	M	LESS	0.0147058823529412	20.830717118308	TCDD
MLT2B3	1	Metabolic	TCDD_M	M	LESS	0.0147058823529412	9.79621571217655	TCDD
MLTR11A	1	Metabolic	TCDD_M	M	LESS	0.0147058823529412	6.82534311469641	TCDD
MLTR31E_MM	1	Metabolic	TCDD_M	M	LESS	0.0147058823529412	89.3462083628632	TCDD
MMERVK9E_I-int	1	Metabolic	TCDD_M	M	LESS	0.0147058823529412	9.00514304082289	TCDD
MTE-int	1	Metabolic	TCDD_M	M	LESS	0.0147058823529412	2.90528317105491	TCDD
MTE2a	1	Metabolic	TCDD_M	M	LESS	0.0147058823529412	0.949396401756196	TCDD
MTE2b-int	1	Metabolic	TCDD_M	M	LESS	0.0147058823529412	19.4894488675891	TCDD
MTEb	1	Metabolic	TCDD_M	M	LESS	0.0147058823529412	1.32672605673453	TCDD
ORR1A2	1	Metabolic	TCDD_M	M	LESS	0.0147058823529412	0.965087883149095	TCDD
ORR1B1	1	Metabolic	TCDD_M	M	LESS	0.0147058823529412	0.83094126215672	TCDD
RLTR11A2	1	Metabolic	TCDD_M	M	LESS	0.0147058823529412	5.352389241514	TCDD
RLTR11D	1	Metabolic	TCDD_M	M	LESS	0.0147058823529412	27.2137075013492	TCDD
RLTR13E	1	Metabolic	TCDD_M	M	LESS	0.0147058823529412	23.6924450291299	TCDD
RLTR20A4	1	Metabolic	TCDD_M	M	LESS	0.0147058823529412	1.23729628666349	TCDD
RLTR24	1	Metabolic	TCDD_M	M	LESS	0.0147058823529412	11.5690098192163	TCDD
RLTR25B	1	Metabolic	TCDD_M	M	LESS	0.0147058823529412	3.8583430250352	TCDD
RLTR30B_MM	1	Metabolic	TCDD_M	M	LESS	0.0147058823529412	50.2761714855434	TCDD
RLTR31D_MM	1	Metabolic	TCDD_M	M	LESS	0.0147058823529412	1.75271455781556	TCDD
RMER10A	1	Metabolic	TCDD_M	M	LESS	0.0147058823529412	3.18545330503335	TCDD
RMER10B	1	Metabolic	TCDD_M	M	LESS	0.0147058823529412	4.76283577014621	TCDD
RMER13B	1	Metabolic	TCDD_M	M	LESS	0.0147058823529412	6.75693420876323	TCDD
RMER15-int	1	Metabolic	TCDD_M	M	LESS	0.0147058823529412	4.58610717014078	TCDD
RMER17B	1	Metabolic	TCDD_M	M	LESS	0.0147058823529412	4.91108297623685	TCDD
RMER19A	1	Metabolic	TCDD_M	M	LESS	0.0147058823529412	6.70500478672482	TCDD
RMER20A	1	Metabolic	TCDD_M	M	LESS	0.0147058823529412	9.31040212695248	TCDD
RMER5	1	Metabolic	TCDD_M	M	LESS	0.0147058823529412	1.93926132168349	TCDD
RMER6A	1	Metabolic	TCDD_M	M	LESS	0.0147058823529412	3.53466887231537	TCDD
RMER6C	1	Metabolic	TCDD_M	M	LESS	0.0147058823529412	2.99686211118111	TCDD
MTD	8	Metabolic	BPA10mg_F	F	LESS	0.106666666666667	2.02388531436957	BPA10mg
MTC	3	Metabolic	BPA10mg_F	F	LESS	0.04	1.41937935402153	BPA10mg
ORR1E	3	Metabolic	BPA10mg_F	F	LESS	0.04	1.72599152868695	BPA10mg
IAPEY3-int	2	Metabolic	BPA10mg_F	F	LESS	0.0266666666666667	11.0996285596368	BPA10mg
