V10	V11	V12	V22	Freq
As	F	adt	DNA	9
BI-PM2.5	F	adt	DNA	2
BPA10mg	F	adt	DNA	1
BPA10ug	F	adt	DNA	0
DEHP	F	adt	DNA	1
MU-PM2.5	F	adt	DNA	1
Pb	F	adt	DNA	0
TBT	F	adt	DNA	5
TCDD	F	adt	DNA	0
As	M	adt	DNA	4
BI-PM2.5	M	adt	DNA	1
BPA10mg	M	adt	DNA	2
BPA10ug	M	adt	DNA	1
DEHP	M	adt	DNA	1
MU-PM2.5	M	adt	DNA	1
Pb	M	adt	DNA	1
TBT	M	adt	DNA	4
TCDD	M	adt	DNA	1
As	F	adt	LINE	27
BI-PM2.5	F	adt	LINE	6
BPA10mg	F	adt	LINE	5
BPA10ug	F	adt	LINE	6
DEHP	F	adt	LINE	11
MU-PM2.5	F	adt	LINE	2
Pb	F	adt	LINE	8
TBT	F	adt	LINE	7
TCDD	F	adt	LINE	3
As	M	adt	LINE	11
BI-PM2.5	M	adt	LINE	9
BPA10mg	M	adt	LINE	5
BPA10ug	M	adt	LINE	4
DEHP	M	adt	LINE	9
MU-PM2.5	M	adt	LINE	4
Pb	M	adt	LINE	6
TBT	M	adt	LINE	8
TCDD	M	adt	LINE	6
As	F	adt	LTR	61
BI-PM2.5	F	adt	LTR	13
BPA10mg	F	adt	LTR	11
BPA10ug	F	adt	LTR	14
DEHP	F	adt	LTR	19
MU-PM2.5	F	adt	LTR	9
Pb	F	adt	LTR	11
TBT	F	adt	LTR	25
TCDD	F	adt	LTR	8
As	M	adt	LTR	23
BI-PM2.5	M	adt	LTR	16
BPA10mg	M	adt	LTR	12
BPA10ug	M	adt	LTR	12
DEHP	M	adt	LTR	19
MU-PM2.5	M	adt	LTR	11
Pb	M	adt	LTR	17
TBT	M	adt	LTR	20
TCDD	M	adt	LTR	10
As	F	adt	SINE	120
BI-PM2.5	F	adt	SINE	9
BPA10mg	F	adt	SINE	11
BPA10ug	F	adt	SINE	16
DEHP	F	adt	SINE	19
MU-PM2.5	F	adt	SINE	9
Pb	F	adt	SINE	23
TBT	F	adt	SINE	22
TCDD	F	adt	SINE	7
As	M	adt	SINE	45
BI-PM2.5	M	adt	SINE	24
BPA10mg	M	adt	SINE	7
BPA10ug	M	adt	SINE	15
DEHP	M	adt	SINE	19
MU-PM2.5	M	adt	SINE	32
Pb	M	adt	SINE	28
TBT	M	adt	SINE	27
TCDD	M	adt	SINE	10
