Transcript_Chr	Transcript_Start	Transcript_End	Strand	log2FoldChange	logCPM	P-value	FDR	DEG	Exposure	Sex	Stage	Transcript	Gene	Symbol	GeneType	TE_Chr	TE_Start	TE_End	TE_strand	subfamily	class	family	transcript_type
chr17	33952688	33952690	-	-3.91175918	2.191057196	6.32E-67	1.07E-63	TRUE	As	F	adt	ENSMUST00000174758.7	ENSMUSG00000008668.15	Rps18	protein_coding	chr17	33952619	33952766	-	B2_Mm2	SINE	B2	retained_intron
chr4	108170142	108170144	+	-4.697463933	2.397244162	1.30E-51	1.20E-48	TRUE	As	F	adt	ENSMUST00000133049.8	ENSMUSG00000028601.18	Echdc2	protein_coding	chr4	108169974	108170178	-	MIRb	SINE	MIR	processed_transcript
chr16	91926683	91926685	-	-3.279878973	2.653401975	5.14E-46	3.08E-43	TRUE	As	F	adt	ENSMUST00000150642.7	ENSMUSG00000022956.11	Atp5o	protein_coding	chr16	91926633	91926787	+	B3	SINE	B2	retained_intron
chrX	8187173	8187175	-	-2.666771702	4.663003236	1.40E-44	7.41E-42	TRUE	As	F	adt	ENSMUST00000140011.1	ENSMUSG00000031168.14	Ebp	protein_coding	chrX	8187146	8187354	+	ID_B1	SINE	B4	retained_intron
chr7	141399427	141399429	+	-5.36947998	3.535788339	3.79E-42	1.66E-39	TRUE	As	F	adt	ENSMUST00000211759.1	ENSMUSG00000025503.5	Taldo1	protein_coding	chr7	141399322	141399475	-	ID_B1	SINE	B4	processed_transcript
chr14	14702278	14702280	+	-5.278805338	2.725076305	6.98E-40	2.51E-37	TRUE	As	F	adt	ENSMUST00000057015.7	ENSMUSG00000021733.10	Slc4a7	protein_coding	chr14	14702154	14702302	-	B1_Mus1	SINE	Alu	protein_coding
chr6	147061250	147061252	+	-1.369772421	3.065866094	1.43E-38	4.57E-36	TRUE	As	F	adt	ENSMUST00000123139.1	ENSMUSG00000040112.9	Mrps35	protein_coding	chr6	147061188	147061304	-	B1_Mur1	SINE	Alu	processed_transcript
chr17	27636668	27636670	-	-5.23883859	4.856910788	3.03E-37	8.67E-35	TRUE	As	F	adt	ENSMUST00000114881.8	ENSMUSG00000052146.16	Rps10	protein_coding	chr17	27636614	27636693	-	PB1D7	SINE	Alu	protein_coding
chr2	168215968	168215970	-	-2.540527796	0.108508963	4.64E-33	9.94E-31	TRUE	As	F	adt	ENSMUST00000136582.1	ENSMUSG00000078919.10	Dpm1	protein_coding	chr2	168215937	168216114	+	B2_Mm1t	SINE	B2	retained_intron
chr4	44923117	44923119	+	-2.458069719	0.991567463	9.86E-33	2.07E-30	TRUE	As	F	adt	ENSMUST00000147272.7	ENSMUSG00000035649.17	Zcchc7	protein_coding	chr4	44922911	44923173	-	L2	LINE	L2	protein_coding
chr17	45588740	45588742	-	-2.577351655	0.402921237	1.33E-31	2.55E-29	TRUE	As	F	adt	ENSMUST00000171978.1	ENSMUSG00000023942.15	Slc29a1	protein_coding	chr17	45588628	45588825	-	ID_B1	SINE	B4	processed_transcript
chr3	94884842	94884844	-	-3.280464598	-0.250449803	6.65E-30	1.10E-27	TRUE	As	F	adt	ENSMUST00000134133.1	ENSMUSG00000005779.12	Psmb4	protein_coding	chr3	94884783	94884884	-	PB1D9	SINE	Alu	retained_intron
chr17	26790774	26790776	+	-3.077697825	0.277515138	2.74E-27	3.53E-25	TRUE	As	F	adt	ENSMUST00000131362.1	ENSMUSG00000024191.14	Bnip1	protein_coding	chr17	26790750	26790846	+	PB1D7	SINE	Alu	retained_intron
